Entity,Code,Year,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh)
Afghanistan,AFG,2000,0,0.155,0.312,0,0,0,0,0
Afghanistan,AFG,2001,0,0.094,0.498,0,0,0,0,0
Afghanistan,AFG,2002,0,0.132,0.555,0,0,0,0,0
Afghanistan,AFG,2003,0,0.309,0.63,0,0,0,0,0
Afghanistan,AFG,2004,0,0.329,0.565,0,0,0,0,0
Afghanistan,AFG,2005,0,0.344,0.59,0,0,0,0,0
Afghanistan,AFG,2006,0,0.2,0.637,0,0,0,0,0
Afghanistan,AFG,2007,0,0.198,0.748,0,0,0,0,0
Afghanistan,AFG,2008,0,0.186,0.542,0,0,0,0.00001,0
Afghanistan,AFG,2009,0,0.162,0.776,0,0,0,0.0001,0
Afghanistan,AFG,2010,0,0.185,0.751,0,0.0002,0,0.0001,0
Afghanistan,AFG,2011,0,0.252,0.595,0,0.0002,0,0.0001,0
Afghanistan,AFG,2012,0,0.174,0.71,0,0.028,0,0,0
Afghanistan,AFG,2013,0,0.218,0.855,0,0.03,0,0,0
Afghanistan,AFG,2014,0,0.154,0.968,0,0.032,0,0,0
Afghanistan,AFG,2015,0,0.144,1.001,0,0.033,0,0,0
Afghanistan,AFG,2016,0,0.15,1.025,0,0.035,0,0,0
Afghanistan,AFG,2017,0,0.168,1.05,0,0.038,0,0,0
Afghanistan,AFG,2018,0,0.15,0.928,0,0.037,0,0,0
Afghanistan,AFG,2019,0,0.152,0.84,0,0.04,0,0,0
Africa,,1985,139.5143361,27.9265,49.44968505,0.26899999999999996,0,34.29558007,0,5.315
Africa,,1986,142.0782501,28.349,51.145373299999996,0.659,0,37.18414795,0,8.802999999999999
Africa,,1987,152.2274759,31.584,49.05646031,0.6579999999999999,0,38.683589000000005,0,6.167000000000001
Africa,,1988,152.4487263,34.0095,53.59345636,0.626,0,42.61288463,0,10.493
Africa,,1989,157.21062769999997,36.939,56.27621477,0.617,0,43.33788191,0,11.099
Africa,,1990,164.6735354,42.646,57.25465912,0.765731343,0,43.12589201,0,8.449
Africa,,1991,164.7859777,45.6115,60.65148841,0.7879999999999999,0,42.20262062,0,9.144
Africa,,1992,165.4204072,50.5445,57.86029168,0.82425,0,42.74259227,0,9.288000285
Africa,,1993,175.9624054,55.1335,56.68250727,0.9157,0,41.90501576,0.002,7.255000053
Africa,,1994,179.79873080000002,62.1015,57.59604857,0.821,0,39.92952025,0.0054,9.696999854
Africa,,1995,186.8891643,66.314,59.76887687,1.0207,0,36.14985687,0.0063,11.30099943
Africa,,1996,197.29430569999997,69.9915,62.31645867,1.2600930879999999,0,37.32356362,0.0071,11.77500009
Africa,,1997,206.0477643,75.8445,63.85249756,1.388640408,0,38.509825,0.0072,12.64699988
Africa,,1998,201.6999621,77.3305,66.65488788,1.714549286,0,42.87714570000001,0.0076,13.60099945
Africa,,1999,199.7957154,86.0905,70.68426132,1.6961247990000001,0,44.68660017,0.0198,12.83699988
Africa,,2000,208.213584,91.84195713,75.24581662,2.2690631580000002,0.013141,46.26333295,0.17600000000000002,13.01000009
Africa,,2001,214.4311602,100.9764402,80.86411472,2.3353526319999998,0.01636,47.13860403,0.41608,10.71899964
Africa,,2002,222.8976789,115.9521024,85.18146813,2.2864,0.01947101,46.40976625,0.44458400000000003,11.99099944
Africa,,2003,235.0154772,123.97649890000001,82.87260146,2.6224,0.02302901,47.87108766,0.541199,12.66299922
Africa,,2004,245.1945917,138.1535376,87.40546926,2.9841,0.02746101,48.73548389,0.769280505,13.36512271
Africa,,2005,248.81206769999997,152.74880919999998,89.06573418,3.0148,0.03237601,50.77501728,0.782382111,11.29265416
Africa,,2006,255.9014317,164.414609,92.24055301,3.77529,0.04065701,54.69724129,0.852565606,10.02599942
Africa,,2007,262.4704142,174.81874209999998,95.34056181,3.14685,0.053333293,58.19071309,1.016223364,11.31699987
Africa,,2008,257.4913186,184.4927751,97.15720925,3.2714220000000003,0.075132202,62.76800782,1.312178131,13.00399966
Africa,,2009,247.70558819999997,192.5277145,99.76113690000001,3.56272219,0.09815292699999999,67.71271341,1.589730939,12.80599944
Africa,,2010,257.3348795,218.2921095,107.42683259999998,3.829542064,0.21382075,65.37126025,2.284182434,13.52699988
Africa,,2011,259.9590085,235.69400290000002,110.44482099999999,3.9296566110000004,0.45278530100000003,57.83920552,2.537472939,12.902000000000001
Africa,,2012,255.51236400000002,261.2388935,110.95230020000001,4.089949862,0.551142126,68.94772323,2.96173124,12.96743391
Africa,,2013,251.3352277,268.4710536,117.67284640000001,4.438767925,0.82434814,79.62953808,3.5597843030000003,14.10599837
Africa,,2014,251.8741375,277.1168432,123.72679479999998,5.552723203999999,1.83130817,84.67913735,5.158121834,13.79399967
Africa,,2015,246.83596119999999,292.68621210000003,119.8568199,7.13598651,3.5957098739999998,92.81668494,8.888286283,12.237
Africa,,2016,249.7962915,306.8942833,115.80125,7.2068401060000005,4.939309565,87.16175222,11.30582067,15.913439000000002
Africa,,2017,249.7207417,326.8668081,123.8156247,7.571012851,6.9840506520000005,80.00760949,12.4581791,15.756337
Africa,,2018,256.5685768,331.30307860000005,130.3878399,8.059533373999999,9.850222857999999,79.31776275,14.28779541,11.090427
Africa,,2019,253.55597769999997,340.47281960000004,132.7347905,8.184247277999999,19.37797783,81.27423987,17.508052499999998,14.214193
Albania,ALB,2000,0,0,4.548,0,0,0.13536,0,0
Albania,ALB,2001,0,0,3.519,0,0,0.12878,0,0
Albania,ALB,2002,0,0,3.477,0,0,0.16356,0,0
Albania,ALB,2003,0,0,5.117,0,0,0.10058,0,0
Albania,ALB,2004,0,0,5.411,0,0,0.1316,0,0
Albania,ALB,2005,0,0,5.319,0,0,0.0658,0,0
Albania,ALB,2006,0,0,4.951,0,0,0.08742,0,0
Albania,ALB,2007,0,0,2.76,0,0,0.06768,0,0
Albania,ALB,2008,0,0,3.759,0,0,0,0,0
Albania,ALB,2009,0,0,5.201,0,0,0,0,0
Albania,ALB,2010,0,0,7.49133,0,0.0005,0.00094,0,0
Albania,ALB,2011,0,0,4.09068,0,0.0008,0.05546,0,0
Albania,ALB,2012,0,0,4.67775,0,0.0009,0,0,0
Albania,ALB,2013,0,0,6.88941,0,0.001,0,0,0
Albania,ALB,2014,0,0,4.67676,0,0.001,0,0,0
Albania,ALB,2015,0,0,5.83605,0,0.001,0,0,0
Albania,ALB,2016,0,0,7.70418,0,0.002,0,0,0
Albania,ALB,2017,0,0,4.47975,0,0.001,0,0,0
Albania,ALB,2018,0,0,8.46648,0,0.001,0,0,0
Albania,ALB,2019,0,0,5.15394,0,0.022,0,0,0
Algeria,DZA,2000,0,23.83652,0.053,0,0,0,0,0
Algeria,DZA,2001,0,24.96264,0.068,0,0,0,0,0
Algeria,DZA,2002,0,25.93554,0.056,0,0,0,0,0
Algeria,DZA,2003,0,27.54764,0.262,0,0,0,0,0
Algeria,DZA,2004,0,29.13906,0.248,0,0,0,0,0
Algeria,DZA,2005,0,31.3584,0.549,0,0,0,0,0
Algeria,DZA,2006,0,32.90752,0.216,0,0,0,0,0
Algeria,DZA,2007,0,34.7518,0.224,0,0,0,0,0
Algeria,DZA,2008,0,37.55582,0.28,0,0,0,0,0
Algeria,DZA,2009,0,35.903,0.303,0,0,0,0,0
Algeria,DZA,2010,0,42.8264,0.172,0,0.0001,0,0,0
Algeria,DZA,2011,0,47.67868,0.497,0,0.0001,0,0,0
Algeria,DZA,2012,0,53.3685,0.616,0,0.0001,0,0,0
Algeria,DZA,2013,0,55.9864,0.327,0,0.0001,0,0,0
Algeria,DZA,2014,0,60.14872,0.251,0,0.0001,0,0.001,0
Algeria,DZA,2015,0,64.46144,0.144,0,0.058,0,0.019,0
Algeria,DZA,2016,0,66.42322,0.21582,0,0.087,0,0.029,0
Algeria,DZA,2017,0,70.86002,0.05544,0,0.572,0,0.008,0
Algeria,DZA,2018,0,71.3272,0.11583,0,0.603,0,0.011,0
Algeria,DZA,2019,0,73.6157866666666,0.10644,0,0.615,0,0.011,0
Algeria,DZA,1985,,,0.6459999999999999,0,0,,0,0
Algeria,DZA,1986,,,0.25,0,0,,0,0
Algeria,DZA,1987,,,0.499,0,0,,0,0
Algeria,DZA,1988,,,0.183,0,0,,0,0
Algeria,DZA,1989,,,0.226,0,0,,0,0
