,district,rooms,size,level,max_levels,price
0,Юнусабадский,3,57.0,4,4,52000.0
1,Яккасарайский,2,52.0,4,5,56000.0
2,Чиланзарский,2,42.0,4,4,37000.0
3,Чиланзарский,3,65.0,1,4,49500.0
4,Чиланзарский,3,70.0,3,5,55000.0
5,Чиланзарский,1,28.0,1,4,25500.0
6,Чиланзарский,1,30.0,2,4,21200.0
7,Яккасарайский,2,32.0,5,5,20000.0
8,Учтепинский,2,51.0,3,4,26200.0
9,Чиланзарский,1,30.0,1,4,22200.0
10,Учтепинский,2,30.0,2,5,24200.0
11,Чиланзарский,3,67.0,2,5,30200.0
12,Чиланзарский,1,30.0,2,4,21200.0
13,Чиланзарский,1,30.0,2,4,21200.0
14,Чиланзарский,1,30.0,2,4,21200.0
15,Чиланзарский,1,35.0,1,5,22500.0
16,Чиланзарский,1,43.0,4,4,22500.0
17,Чиланзарский,2,51.0,2,4,21200.0
18,Мирзо-Улугбекский,3,65.0,1,4,32500.0
19,Чиланзарский,2,51.0,2,4,22200.0
20,Чиланзарский,2,51.0,2,4,24200.0
21,Яккасарайский,4,90.0,5,5,45000.0
22,Чиланзарский,4,80.0,3,4,56000.0
23,Яшнободский,2,70.0,5,5,47000.0
24,Мирзо-Улугбекский,3,69.0,1,4,49900.0
25,Мирабадский,3,80.0,2,4,76000.0
26,Учтепинский,3,96.0,3,4,65000.0
27,Учтепинский,4,76.0,4,4,47500.0
28,Учтепинский,2,45.0,4,5,30000.0
29,Чиланзарский,1,27.0,3,4,32000.0
30,Учтепинский,2,65.0,3,9,44000.0
31,Чиланзарский,2,64.0,3,4,56500.0
32,Чиланзарский,1,42.0,5,9,35000.0
33,Чиланзарский,1,26.0,2,4,23500.0
34,Учтепинский,4,76.0,5,5,60500.0
35,Чиланзарский,3,80.0,2,4,68000.0
36,Чиланзарский,3,72.0,5,5,41500.0
37,Учтепинский,4,100.0,3,12,55000.0
38,Учтепинский,3,65.0,4,4,44000.0
39,Учтепинский,4,80.0,3,4,52500.0
40,Учтепинский,3,72.0,6,9,43000.0
41,Мирабадский,2,65.0,1,4,80000.0
42,Яккасарайский,2,63.0,1,5,42000.0
43,Яккасарайский,2,48.0,5,9,23000.0
44,Юнусабадский,3,70.0,3,4,47000.0
45,Яккасарайский,3,102.0,7,12,88784.0
46,Учтепинский,4,78.0,2,4,65000.0
47,Чиланзарский,4,100.0,1,4,97000.0
48,Чиланзарский,1,34.0,1,4,28500.0
49,Чиланзарский,2,42.0,2,4,34500.0
50,Учтепинский,4,80.0,4,5,51000.0
51,Учтепинский,3,90.0,1,12,51000.0
52,Чиланзарский,2,45.0,2,4,48000.0
53,Чиланзарский,3,70.0,5,5,40000.0
54,Чиланзарский,4,96.0,7,9,67000.0
55,Учтепинский,4,80.0,4,5,68000.0
56,Учтепинский,2,63.0,1,4,40500.0
57,Учтепинский,2,56.0,4,5,54000.0
58,Учтепинский,2,52.0,1,4,36000.0
59,Учтепинский,3,98.0,2,4,68000.0
60,Чиланзарский,3,96.0,9,9,63000.0
61,Шайхантахурский,4,93.0,4,4,63500.0
62,Шайхантахурский,2,60.0,9,9,49500.0
63,Чиланзарский,5,82.0,4,4,70000.0
64,Учтепинский,5,120.0,9,9,52000.0
65,Учтепинский,4,110.0,3,3,91000.0
66,Чиланзарский,4,95.0,2,4,83000.0
67,Учтепинский,2,56.0,1,4,40500.0
68,Чиланзарский,3,68.0,3,4,48000.0
69,Олмазорский,2,57.0,3,4,42000.0
70,Яшнободский,1,46.0,11,11,19765.0
71,Чиланзарский,2,45.0,4,4,34500.0
72,Юнусабадский,2,40.0,1,9,40000.0
73,Мирзо-Улугбекский,3,95.0,5,5,50000.0
74,Юнусабадский,2,53.0,1,9,68000.0
75,Олмазорский,2,72.0,4,9,41500.0
76,Мирзо-Улугбекский,3,65.0,4,5,41500.0
77,Юнусабадский,4,82.0,1,4,86000.0
