location,district,rooms,size,level,max_levels,price
"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,57,4,4,52000
"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Яккасарайский,2,52,4,5,56000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42,4,4,37000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,1,4,49500
"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,70,3,5,55000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,28,1,4,25500
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30,2,4,21200
"город Ташкент, Яккасарайский район, Саламатина",Яккасарайский,2,32,5,5,20000
"город Ташкент, Учтепинский район, Чиланзар-21",Учтепинский,2,51,3,4,26200
"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,1,30,1,4,22200
"город Ташкент, Учтепинский район, Чиланзар-14",Учтепинский,2,30,2,5,24200
"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,67,2,5,30200
"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,1,30,2,4,21200
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30,2,4,21200
"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,30,2,4,21200
"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,35,1,5,22500
"город Ташкент, Чиланзарский район, Г9а",Чиланзарский,1,43,4,4,22500
"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,51,2,4,21200
"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,3,65,1,4,32500
"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,51,2,4,22200
"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,51,2,4,24200
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90,5,5,45000
"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Чиланзарский,4,80,3,4,56000
"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,70,5,5,47000
"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,69,1,4,49900
"город Ташкент, Мирабадский район, Афросиёб",Мирабадский,3,80,2,4,76000
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,96,3,4,65000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,76,4,4,47500
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,45,4,5,30000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,27,3,4,32000
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,65,3,9,44000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,64,3,4,56500
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,42,5,9,35000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,26,2,4,23500
