location,district,rooms,size,level,max_levels,price,lat,lng
"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,57,4,4,52000,41.3714709,69.2810486
"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Яккасарайский,2,52,4,5,56000,41.2911155,69.2611035
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42,4,4,37000,41.2807837,69.223683
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,1,4,49500,41.2901628,69.1968618
"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,70,3,5,55000,41.3001561,69.2108312
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,28,1,4,25500,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30,2,4,21200,41.274633,69.200587
"город Ташкент, Яккасарайский район, Саламатина",Яккасарайский,2,32,5,5,20000,41.2820131,69.2431373
"город Ташкент, Учтепинский район, Чиланзар-21",Учтепинский,2,51,3,4,26200,41.2924208,69.1737654
"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,1,30,1,4,22200,41.2894422,69.2058023
"город Ташкент, Учтепинский район, Чиланзар-14",Учтепинский,2,30,2,5,24200,41.2962523,69.1909015
"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,67,2,5,30200,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,1,30,2,4,21200,41.271386,69.1961168
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30,2,4,21200,41.274633,69.200587
"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,30,2,4,21200,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,35,1,5,22500,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Г9а",Чиланзарский,1,43,4,4,22500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,51,2,4,21200,41.2948119,69.2087824
"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,3,65,1,4,32500,41.3576548,69.3675816
"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,51,2,4,22200,41.271386,69.1961168
"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,51,2,4,24200,41.2901628,69.1968618
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90,5,5,45000,41.2673079,69.2415634
"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Чиланзарский,4,80,3,4,56000,41.2769954,69.1962495
"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,70,5,5,47000,41.3052221,69.2898134
"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,69,1,4,49900,41.3619703,69.3875774
"город Ташкент, Мирабадский район, Афросиёб",Мирабадский,3,80,2,4,76000,41.3035042,69.2680561
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,96,3,4,65000,41.2902787,69.1839655
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,76,4,4,47500,41.2770171,69.1909015
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,45,4,5,30000,41.290141,69.1871763
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,27,3,4,32000,41.2916859,69.2177228
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,65,3,9,44000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,64,3,4,56500,41.2807837,69.223683
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,42,5,9,35000,41.2948119,69.2087824
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,26,2,4,23500,41.2948119,69.2087824
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,76,5,5,60500,41.2771751,69.1789807
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,80,2,4,68000,41.2657122,69.1819609
"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,72,5,5,41500,41.2985011,69.2029128
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,3,12,55000,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,4,4,44000,41.2770171,69.1909015
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,80,3,4,52500,41.2770171,69.1909015
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72,6,9,43000,41.2978921,69.1804708
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,65,1,4,80000,41.2991561,69.2785087
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,63,1,5,42000,41.2673079,69.2415634
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000,41.2673079,69.2415634
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70,3,4,47000,41.3707855,69.3190425
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,102,7,12,88784,41.2818558,69.2552666
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,78,2,4,65000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100,1,4,97000,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,34,1,4,28500,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,42,2,4,34500,41.2829494,69.1968618
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80,4,5,51000,41.2953086,69.182706
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,90,1,12,51000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45,2,4,48000,41.2807837,69.223683
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70,5,5,40000,41.260048,69.162198
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,96,7,9,67000,41.2798237,69.2058023
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80,4,5,68000,41.2797359,69.1670599
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63,1,4,40500,41.2814223,69.1760005
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,56,4,5,54000,41.2867929,69.1789807
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,52,1,4,36000,41.2879715,69.1692951
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,98,2,4,68000,41.281265,69.1879213
"город Ташкент, Чиланзарский район, Бешёгоч",Чиланзарский,3,96,9,9,63000,41.3068527,69.2534409
"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,4,93,4,4,63500,41.3275402,69.2102725
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,2,60,9,9,49500,41.3365221,69.2824454
"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-2",Чиланзарский,5,82,4,4,70000,41.260048,69.162198
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,5,120,9,9,52000,41.2867929,69.1789807
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,110,3,3,91000,41.2953086,69.182706
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,4,95,2,4,83000,41.2847707,69.2288981
"город Ташкент, Учтепинский район, 4-й проезд Курувчи",Учтепинский,2,56,1,4,40500,41.265874,69.223683
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68,3,4,48000,41.2885649,69.2290098
"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,57,3,4,42000,41.3333453,69.2475235
"город Ташкент, Яшнободский район, Жаркургон",Яшнободский,1,46,11,11,19765,41.286283,69.3235123
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45,4,4,34500,41.2807837,69.223683
"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,2,40,1,9,40000,41.3804352,69.2840285
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95,5,5,50000,41.3427418,69.3875774
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,53,1,9,68000,41.3197131,69.2773236
"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,72,4,9,41500,41.3376966,69.243806
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,65,4,5,41500,41.3215876,69.3230626
"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Юнусабадский,4,82,1,4,86000,41.3197131,69.2773236
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,3,9,25500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,4,4,31500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,1,4,26500,41.259418,69.1804708
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,1,20,3,9,14500,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,45,4,4,45000,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,46,2,5,30000,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50,2,4,34500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,2,4,27000,41.259418,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,80,6,9,59500,41.281265,69.1879213
"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,3,72,3,9,48000,41.3239274,69.2143264
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,78,5,5,47299,41.2797359,69.1670599
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,46,4,5,37000,41.260048,69.162198
"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60,2,4,38000,41.2894422,69.2058023
