"rank","country","density","densityMi","pop2021","area"
"1","Macau","21946.4667","56841.3487","658.3940","30"
"2","Monaco","19755.5000","51166.7450","39.5110","2"
"3","Singapore","8305.1915","21510.4461","5896.6860","710"
"4","Hong Kong","6841.3134","17719.0017","7552.8100","1104"
"5","Gibraltar","5616.3333","14546.3033","33.6980","6"
"6","Bahrain","2285.3542","5919.0675","1748.2960","765"
"7","Maldives","1812.0567","4693.2268","543.6170","300"
"8","Malta","1401.2152","3629.1473","442.7840","316"
"9","Sint Maarten","1276.8235","3306.9729","43.4120","34"
"10","Bermuda","1149.8148","2978.0204","62.0900","54"
"11","Bangladesh","1126.9465","2918.7915","166303.4980","147570"
"12","Palestine","839.6701","2174.7455","5222.7480","6220"
"13","Vatican City","800","2072","0.8000","1"
"14","Mayotte","747.3663","1935.6787","279.5150","374"
"15","Saint Martin","740.2642","1917.2842","39.2340","53"
"16","Barbados","669.0953","1732.9570","287.7110","430"
"17","Taiwan","659.1056","1707.0836","23855.0100","36193"
"18","Lebanon","647.6412","1677.3908","6769.1460","10452"
"19","Mauritius","624.2319","1616.7605","1273.4330","2040"
"20","Aruba","595.5778","1542.5464","107.2040","180"
"21","San Marino","557.6557","1444.3284","34.0170","61"
"22","Nauru","517.9048","1341.3733","10.8760","21"
"23","South Korea","511.9767","1326.0197","51305.1860","100210"
"24","Rwanda","504.0820","1305.5725","13276.5130","26338"
"25","Comoros","477.1488","1235.8153","888.4510","1862"
"26","Saint Barthelemy","471.7619","1221.8633","9.9070","21"
"27","Tuvalu","458.8846","1188.5112","11.9310","26"
"28","Burundi","440.3044","1140.3884","12255.4330","27834"
"29","India","423.8391","1097.7432","1393409.0380","3287590"
"30","Israel","423.1957","1096.0768","8789.7740","20770"
"31","Haiti","415.9166","1077.2239","11541.6850","27750"
"32","Netherlands","410.3488","1062.8035","17173.0990","41850"
"33","Belgium","381.0379","986.8882","11632.3260","30528"
"34","Curacao","371.1667","961.3217","164.7980","444"
"35","Reunion","359.0944","930.0545","901.6860","2511"
"36","Japan","333.5295","863.8414","126050.8040","377930"
"37","Martinique","332.2207","860.4517","374.7450","1128"
"38","Marshall Islands","329.3370","852.9829","59.6100","181"
"39","Grenada","328.5494","850.9430","113.0210","344"
"40","Sri Lanka","327.6529","848.6211","21497.3100","65610"
"41","Philippines","324.3638","840.1022","111046.9130","342353"
"42","Puerto Rico","318.8563","825.8377","2828.2550","8870"
"43","Guam","309.9800","802.8481","170.1790","549"
"44","El Salvador","309.7999","802.3817","6518.4990","21041"
"45","United States Virgin Islands","300.3631","777.9405","104.2260","347"
"46","Saint Lucia","299.3506","775.3182","184.4000","616"
"47","Vietnam","296.3927","767.6572","98168.8330","331212"
"48","Saint Vincent and the Grenadines","286.0231","740.7999","111.2630","389"
"49","United Kingdom","280.8033","727.2805","68207.1160","242900"
"50","American Samoa","276.8844","717.1307","55.1000","199"
"51","Trinidad and Tobago","273.5624","708.5266","1403.3750","5130"
"52","Jamaica","270.5362","700.6887","2973.4630","10991"
"53","Pakistan","255.3542","661.3674","225199.9370","881912"
"54","Qatar","252.9370","655.1068","2930.5280","11586"
"55","Cayman Islands","251.8826","652.3759","66.4970","264"
